source:pkey,addr:province,addr:city,operator,addr:full,addr:street,addr:housenumber,addr:postcode,source,amenity,addr_full,gcode
A-803-F,Alicante,Torrevieja,Sandra  Pelegrin Montesinos,"Carrer de DIANA ESQ. Carrer de TRITON (Carrer de TORREMARINA), LOCAL 16, 03183",Carrer de DIANA ESQ. Carrer de TRITON (Carrer de TORREMARINA), LOCAL 16, 03183,Opendata Generalitat Valenciana,pharmacy,"Carrer de DIANA ESQ. Carrer de TRITON (Carrer de TORREMARINA), Torrevieja, Alicante",
A-817-F,Alicante,Torrevieja,Asuncion Crespo Andres,"Carrer de PUNTA MARINA LOCAL 019-1, , 03185",Carrer de PUNTA MARINA LOCAL 019-1, , 03185,Opendata Generalitat Valenciana,pharmacy,"Carrer de PUNTA MARINA LOCAL 019-1, Torrevieja, Alicante",
A-384-F,Alicante,La Vila Joiosa / Villajoyosa,Inmaculada Segrelles Lloret,"Plaça de PRACTICANTE GASPAR ORTUÃ‘O, 54, 03570",Plaça de PRACTICANTE GASPAR ORTUÃ‘O, 54, 03570,Opendata Generalitat Valenciana,pharmacy,"Plaça de PRACTICANTE GASPAR ORTUÃ‘O, La Vila Joiosa / Villajoyosa, Alicante",
A-151-F,Alicante,Villena,"Javier Gisbert Menor, Angela Catalina Menor Hernandez","PLAZA Beata Agueda Hernandez Amoros, 3, 03400",PLAZA Beata Agueda Hernandez Amoros, 3, 03400,Opendata Generalitat Valenciana,pharmacy,"PLAZA Beata Agueda Hernandez Amoros, Villena, Alicante",
A-747-F,Alicante,Villena,"Maria Torres Albaladejo, Miguel José Arques Garcia","Carrer de COMPOSITOR MAESTRO MANUEL CARRASCOSA, 2, 03400",Carrer de COMPOSITOR MAESTRO MANUEL CARRASCOSA, 2, 03400,Opendata Generalitat Valenciana,pharmacy,"Carrer de COMPOSITOR MAESTRO MANUEL CARRASCOSA, Villena, Alicante",
CS-315-F,Castellon,L’Alcora,Cristobal Tomas Safont,"Carrer de Cami Molino Nuevo, 1, 12110",Carrer de Cami Molino Nuevo, 1, 12110,Opendata Generalitat Valenciana,pharmacy,"Carrer de Cami Molino Nuevo, L’Alcora, Castellon",
CS-5-F,Castellon,L’Alcora,Inmaculada Ripolles Latorre,"Carrer de Los Dolores, 1, 12110",Carrer de Los Dolores, 1, 12110,Opendata Generalitat Valenciana,pharmacy,"Carrer de Los Dolores, L’Alcora, Castellon",
CS-6-F,Castellon,L’Alcora,Roser Sanz Gil,"Carrer de Fosch, 1, 12110",Carrer de Fosch, 1, 12110,Opendata Generalitat Valenciana,pharmacy,"Carrer de Fosch, L’Alcora, Castellon",
CS-317-F,Castellon,Almassora,Berta Maria Mallol Escura,"Carrer de Jesus y Maria, 143, 12550",Carrer de Jesus y Maria, 143, 12550,Opendata Generalitat Valenciana,pharmacy,"Carrer de Jesus y Maria, Almassora, Castellon",
CS-220-F,Castellon,Almedijar,Luis Ballester Cortes,"Carrer de Carboneras, 3, 12413",Carrer de Carboneras, 3, 12413,Opendata Generalitat Valenciana,pharmacy,"Carrer de Carboneras, Almedijar, Castellon",
CS-273-F,Castellon,Arañuel,Vicente Marti Taus,"Avinguda de Venta Laurel, 30, 12232",Avinguda de Venta Laurel, 30, 12232,Opendata Generalitat Valenciana,pharmacy,"Avinguda de Venta Laurel, Arañuel, Castellon",
CS-225-F,Castellon,Barracas,Ramon Gimeno Royo,"Carretera de Sagunto-Burgos, KM 60'5, 12420",Carretera de Sagunto-Burgos, KM 60'5, 12420,Opendata Generalitat Valenciana,pharmacy,"Carretera de Sagunto-Burgos, Barracas, Castellon",
CS-205-F,Castellon,Bejís,Catalina Blat Marin,"Carrer de Carretera Estacion, 53, 12430",Carrer de Carretera Estacion, 53, 12430,Opendata Generalitat Valenciana,pharmacy,"Carrer de Carretera Estacion, Bejís, Castellon",
CS-133-F,Castellon,Borriana/Burriana,"Javier Muñoz Melchor, Lucia Muñoz Rios","Avinguda de Cami dÂ´Onda, 41, 12530",Avinguda de Cami dÂ´Onda, 41, 12530,Opendata Generalitat Valenciana,pharmacy,"Avinguda de Cami dÂ´Onda, Borriana/Burriana, Castellon",
CS-31-F,Castellon,Canet Lo Roig,Maria Rosa Farres Redons,"Carrer de Falco i Blanco, 13, 12350",Carrer de Falco i Blanco, 13, 12350,Opendata Generalitat Valenciana,pharmacy,"Carrer de Falco i Blanco, Canet Lo Roig, Castellon",
CS-50-F,Castellon,Castelló De La Plana,Amparo Gras Llopis,"Avinguda de DR. CLARA, 5, 12002",Avinguda de DR. CLARA, 5, 12002,Opendata Generalitat Valenciana,pharmacy,"Avinguda de DR. CLARA, Castelló De La Plana, Castellon",
CS-192-F,Castellon,Caudiel,Mercedes Teruel Briones,"Avinguda de MONTAN, 16, 12440",Avinguda de MONTAN, 16, 12440,Opendata Generalitat Valenciana,pharmacy,"Avinguda de MONTAN, Caudiel, Castellon",
CS-249-F,Castellon,Cortes De Arenoso,Pablo Aparici Llorens,"Carrer de Capellania, 1, 12126",Carrer de Capellania, 1, 12126,Opendata Generalitat Valenciana,pharmacy,"Carrer de Capellania, Cortes De Arenoso, Castellon",
CS-231-F,Castellon,Fanzara,Silvia Pons Cercos,"Carrer de CALVO SOTELO, 11, 12230",Carrer de CALVO SOTELO, 11, 12230,Opendata Generalitat Valenciana,pharmacy,"Carrer de CALVO SOTELO, Fanzara, Castellon",
CS-262-F,Castellon,La Mata,Encarna Marti Ulldemolins,"Carretera de FORCALL PTE VALLES, , 12312",Carretera de FORCALL PTE VALLES, , 12312,Opendata Generalitat Valenciana,pharmacy,"Carretera de FORCALL PTE VALLES, La Mata, Castellon",
CS-79-F,Castellon,Montán,Miguel Barona Collado,"Avinguda de Antonio Fornas, 35, 12447",Avinguda de Antonio Fornas, 35, 12447,Opendata Generalitat Valenciana,pharmacy,"Avinguda de Antonio Fornas, Montán, Castellon",
CS-312-F,Castellon,Onda,Teresa Badenes Escrig,"Carrer de Doctor Gomez Ferrer, 2, 12200",Carrer de Doctor Gomez Ferrer, 2, 12200,Opendata Generalitat Valenciana,pharmacy,"Carrer de Doctor Gomez Ferrer, Onda, Castellon",
CS-320-F,Castellon,Onda,Veronica Hernandez Agramunt,"Avinguda de Montendre, 46, 12200",Avinguda de Montendre, 46, 12200,Opendata Generalitat Valenciana,pharmacy,"Avinguda de Montendre, Onda, Castellon",
CS-250-F,Castellon,Peníscola/Peñiscola,María José Sales Escrig,"Avinguda de PAPA LUNA.BLOQUE G. LOCarrer de C, 4, 12598",Avinguda de PAPA LUNA.BLOQUE G. LOCarrer de C, 4, 12598,Opendata Generalitat Valenciana,pharmacy,"Avinguda de PAPA LUNA.BLOQUE G. LOCarrer de C, Peníscola/Peñiscola, Castellon",
CS-256-F,Castellon,Peníscola/Peñiscola,Yolanda Castell Ferreres,"Urbanització PeÃ±ismar I, 6, 12598",Urbanització PeÃ±ismar I, 6, 12598,Opendata Generalitat Valenciana,pharmacy,"Urbanització PeÃ±ismar I, Peníscola/Peñiscola, Castellon",
CS-236-F,Castellon,Portell De Morella,Javier Jordan Moros,"Carrer de Nueva, 1, 12318",Carrer de Nueva, 1, 12318,Opendata Generalitat Valenciana,pharmacy,"Carrer de Nueva, Portell De Morella, Castellon",
CS-96-F,Castellon,Vall D’Alba,Marta Fabregat Climent,"Avinguda de LOS PASILLOS, 6, 12194",Avinguda de LOS PASILLOS, 6, 12194,Opendata Generalitat Valenciana,pharmacy,"Avinguda de LOS PASILLOS, Vall D’Alba, Castellon",
CS-237-F,Castellon,Vall Ce Almonacid,Mª Estela Sorni Piñon,"Avinguda de Hermanos Perez Rodriguez, 4, 12414",Avinguda de Hermanos Perez Rodriguez, 4, 12414,Opendata Generalitat Valenciana,pharmacy,"Avinguda de Hermanos Perez Rodriguez, Vall Ce Almonacid, Castellon",
CS-100-F,Castellon,La Vall D’Uixó,Vicente Nebot Palmer,"Carrer de PADRE MELIA, 12, 12600",Carrer de PADRE MELIA, 12, 12600,Opendata Generalitat Valenciana,pharmacy,"Carrer de PADRE MELIA, La Vall D’Uixó, Castellon",
CS-151-F,Castellon,La Vall D’Uixó,"Victor Diago Segarra, Amparo Segarra Garcia","Avinguda de Suroeste, 66, 12600",Avinguda de Suroeste, 66, 12600,Opendata Generalitat Valenciana,pharmacy,"Avinguda de Suroeste, La Vall D’Uixó, Castellon",
CS-300-F,Castellon,La Vall D’Uixó,Alicia Saera Monfort,"Carrer de Doctor Severo Ochoa, 31, 12600",Carrer de Doctor Severo Ochoa, 31, 12600,Opendata Generalitat Valenciana,pharmacy,"Carrer de Doctor Severo Ochoa, La Vall D’Uixó, Castellon",
CS-97-F,Castellon,La Vall D’Uixó,Gloria Aparici Sancarlos,"Carrer de Garcia Esbri, 67, 12600",Carrer de Garcia Esbri, 67, 12600,Opendata Generalitat Valenciana,pharmacy,"Carrer de Garcia Esbri, La Vall D’Uixó, Castellon",
CS-160-F,Castellon,Vinaròs,Manuel Adell Alegre,"PABLO PICASO ESQINA PIO XII, , 12500",PABLO PICASO ESQINA PIO XII, , 12500,Opendata Generalitat Valenciana,pharmacy,"PABLO PICASO ESQINA PIO XII, Vinaròs, Castellon",
CS-213-F,Castellon,Vistabella Del Maestrat,Vicente Eixeres Cherta,"ARRAL Nuestra SeÃ±ora Loreto, 27, 12135",ARRAL Nuestra SeÃ±ora Loreto, 27, 12135,Opendata Generalitat Valenciana,pharmacy,"ARRAL Nuestra SeÃ±ora Loreto, Vistabella Del Maestrat, Castellon",
CS-282-F,Castellon,Zorita Del Maestrazgo,Eva Forcadell Ayza,"Carrer de La Plaza, 12, 12311",Carrer de La Plaza, 12, 12311,Opendata Generalitat Valenciana,pharmacy,"Carrer de La Plaza, Zorita Del Maestrazgo, Castellon",
V-573-F,Valencia,Alcàntera De Xúquer,Maria Jose Fuentes Martinez,"Carrer de PirotecniCarrer de Lluis Brunchu, 24, 46293",Carrer de PirotecniCarrer de Lluis Brunchu, 24, 46293,Opendata Generalitat Valenciana,pharmacy,"Carrer de PirotecniCarrer de Lluis Brunchu, Alcàntera De Xúquer, Valencia",
V-978-F,Valencia,L’Alcúdia,Elvira Benedito Fortea,"Avinguda de Antonio Almela, 72, 46250",Avinguda de Antonio Almela, 72, 46250,Opendata Generalitat Valenciana,pharmacy,"Avinguda de Antonio Almela, L’Alcúdia, Valencia",
V-1298-F,Valencia,Aldaia,José Antonio Dominguez Román,"Carrer de Doctor MaraÃ±on, 4, 46960",Carrer de Doctor MaraÃ±on, 4, 46960,Opendata Generalitat Valenciana,pharmacy,"Carrer de Doctor MaraÃ±on, Aldaia, Valencia",
V-625-F,Valencia,Aldaia,Maria Jesus Navarro Torres,"Avinguda de Vicente Blasco IbaÃ±ez, 5, 46960",Avinguda de Vicente Blasco IbaÃ±ez, 5, 46960,Opendata Generalitat Valenciana,pharmacy,"Avinguda de Vicente Blasco IbaÃ±ez, Aldaia, Valencia",
V-894-F,Valencia,Alfarrasí,Fernando Ballester Salvador,"Carrer de Marti Flores, 41, 46893",Carrer de Marti Flores, 41, 46893,Opendata Generalitat Valenciana,pharmacy,"Carrer de Marti Flores, Alfarrasí, Valencia",
V-538-F,Valencia,Algemesí,"Montserrat Perez Pino, Montserrat Perez Pino","Carrer de AcademiCarrer de Segura, 15, 46680",Carrer de AcademiCarrer de Segura, 15, 46680,Opendata Generalitat Valenciana,pharmacy,"Carrer de AcademiCarrer de Segura, Algemesí, Valencia",
V-1114-F,Valencia,Andilla,Raquel Nieto Biot,"Carrer de Casas Nuevas, 29, 46170",Carrer de Casas Nuevas, 29, 46170,Opendata Generalitat Valenciana,pharmacy,"Carrer de Casas Nuevas, Andilla, Valencia",
V-1005-F,Valencia,Beneixida,Maria Loreto Millo Gonzalez,"PLAZA PASSEIG DÂ´EUGENI BURRIEL, 4, 46293",PLAZA PASSEIG DÂ´EUGENI BURRIEL, 4, 46293,Opendata Generalitat Valenciana,pharmacy,"PLAZA PASSEIG DÂ´EUGENI BURRIEL, Beneixida, Valencia",
V-1153-F,Valencia,Bétera,Laura Pavia Estrella,"Carretera de PATERNA S/N LOCarrer de 9-10 Urbanització MAS CAMA, , 46117",Carretera de PATERNA S/N LOCarrer de 9-10 Urbanització MAS CAMA, , 46117,Opendata Generalitat Valenciana,pharmacy,"Carretera de PATERNA S/N LOCarrer de 9-10 Urbanització MAS CAMA, Bétera, Valencia",
V-1215-F,Valencia,Burjassot,Josep Manuel Barea Gimeno,"Carrer de Maestro Arturo Padilla, 36, 46100",Carrer de Maestro Arturo Padilla, 36, 46100,Opendata Generalitat Valenciana,pharmacy,"Carrer de Maestro Arturo Padilla, Burjassot, Valencia",
V-1035-F,Valencia,Canals,Juan Pedro Alcazar Navarro,"Carrer de Nou dÂ´Octubre, 2, 46650",Carrer de Nou dÂ´Octubre, 2, 46650,Opendata Generalitat Valenciana,pharmacy,"Carrer de Nou dÂ´Octubre, Canals, Valencia",
V-1239-F,Valencia,Canals,Enrique Pepiol Salom,"Carrer de Raimundo de P Sarrio, 3, 46650",Carrer de Raimundo de P Sarrio, 3, 46650,Opendata Generalitat Valenciana,pharmacy,"Carrer de Raimundo de P Sarrio, Canals, Valencia",
V-543-F,Valencia,Càrcer,Antonio Francisco Peydro Perucho,"Carrer de Alcalde Don Laureano SuÃ±er Carbonell, 2, 46294",Carrer de Alcalde Don Laureano SuÃ±er Carbonell, 2, 46294,Opendata Generalitat Valenciana,pharmacy,"Carrer de Alcalde Don Laureano SuÃ±er Carbonell, Càrcer, Valencia",
V-936-F,Valencia,Carlet,Cristina Miragall Penalba,"Cantó dels carrers del Rotllet i Bonaire, 46240",Cantó dels carrers del Rotllet i Bonaire, 46240,,Opendata Generalitat Valenciana,pharmacy,"Cantó dels carrers del Rotllet i Bonaire, Carlet, Valencia",
V-1087-F,Valencia,Chiva,Francisco Anchel Balaguer,"Avinguda de Buenos Aires Calicanto, 301, 46370",Avinguda de Buenos Aires Calicanto, 301, 46370,Opendata Generalitat Valenciana,pharmacy,"Avinguda de Buenos Aires Calicanto, Chiva, Valencia",
V-613-F,Valencia,Cullera,Macarena Peiro Alfonso,"Carrer de 25 DÂ´ABRIL, 64, 46400",Carrer de 25 DÂ´ABRIL, 64, 46400,Opendata Generalitat Valenciana,pharmacy,"Carrer de 25 DÂ´ABRIL, Cullera, Valencia",
V-980-F,Valencia,Cullera,Margarita Gonzalez Enriquez,"Carretera de DEL FARO. EDIF.FLORAZAR, 1, 46400",Carretera de DEL FARO. EDIF.FLORAZAR, 1, 46400,Opendata Generalitat Valenciana,pharmacy,"Carretera de DEL FARO. EDIF.FLORAZAR, Cullera, Valencia",
V-1192-F,Valencia,L’Eliana,Maria Esther Jimenez Alcañiz,"Avinguda de Puebla de Vallbona, 10, 46183",Avinguda de Puebla de Vallbona, 10, 46183,Opendata Generalitat Valenciana,pharmacy,"Avinguda de Puebla de Vallbona, L’Eliana, Valencia",
V-402-F,Valencia,La Font D’En Carròs,"Maria Amparo Galiano Colecha, Victoria Galiano Colecha","PLAÇA Francisco Carros, 8, 46717",PLAÇA Francisco Carros, 8, 46717,Opendata Generalitat Valenciana,pharmacy,"PLAÇA Francisco Carros, La Font D’En Carròs, Valencia",
V-521-F,Valencia,Gandia,Isabel Borras Margarit,"Carrer de Nou dÂ´Octubre, 56, 46702",Carrer de Nou dÂ´Octubre, 56, 46702,Opendata Generalitat Valenciana,pharmacy,"Carrer de Nou dÂ´Octubre, Gandia, Valencia",
V-662-F,Valencia,Llanera De Ranes,Miguel Angel Garcia-Chamon Cervera,"Carretera de Madrid (de), 25, 46814",Carretera de Madrid (de), 25, 46814,Opendata Generalitat Valenciana,pharmacy,"Carretera de Madrid (de), Llanera De Ranes, Valencia",
V-498-F,Valencia,Llíria,Pilar Daries Coll,"PLAÇA Nou dÂ´Octubre, 3, 46160",PLAÇA Nou dÂ´Octubre, 3, 46160,Opendata Generalitat Valenciana,pharmacy,"PLAÇA Nou dÂ´Octubre, Llíria, Valencia",
V-874-F,Valencia,Llíria,"Victor Prestamo Faubel, Severino Prestamo Faubel","Carrer de PLA DE LÂ´ARCarrer de (DEL), 17, 46160",Carrer de PLA DE LÂ´ARCarrer de (DEL), 17, 46160,Opendata Generalitat Valenciana,pharmacy,"Carrer de PLA DE LÂ´ARCarrer de (DEL), Llíria, Valencia",
V-1020-F,Valencia,Llocnou D'En Fenollet,Antonio Olmos Ribes,"Carrer de Jaime I, 1, 46668",Carrer de Jaime I, 1, 46668,Opendata Generalitat Valenciana,pharmacy,"Carrer de Jaime I, Llocnou D'En Fenollet, Valencia",
V-996-F,Valencia,Losa Del Obispo,Mª Angeles Ballestero Nicolau,"Carrer de Maestro Don Jose MuÃ±oz March (del), 3, 46173",Carrer de Maestro Don Jose MuÃ±oz March (del), 3, 46173,Opendata Generalitat Valenciana,pharmacy,"Carrer de Maestro Don Jose MuÃ±oz March (del), Losa Del Obispo, Valencia",
V-1130-F,Valencia,Manises,Julia Rodriguez-Moldes Rodrigo,". LOCAL PLANTA ALTA AEROPUERTO, S/N, 46940",. LOCAL PLANTA ALTA AEROPUERTO, , 46940,Opendata Generalitat Valenciana,pharmacy,". LOCAL PLANTA ALTA AEROPUERTO, Manises, Valencia",
V-1078-F,Valencia,Massanassa,Vicente Boix Ferrandis,"Carrer de 9 dÂ´Octubre, 33, 46470",Carrer de 9 dÂ´Octubre, 33, 46470,Opendata Generalitat Valenciana,pharmacy,"Carrer de 9 dÂ´Octubre, Massanassa, Valencia",
V-313-F,Valencia,Massanassa,Cristina Abril Ramirez De Arellano,"Avinguda de Blasco IbaÃ±ez, 80, 46470",Avinguda de Blasco IbaÃ±ez, 80, 46470,Opendata Generalitat Valenciana,pharmacy,"Avinguda de Blasco IbaÃ±ez, Massanassa, Valencia",
V-1223-F,Valencia,Mislata,Vicente J. Baixauli Fernandez,"Carrer de Camino Viejo de Xirivella, 24, 46920",Carrer de Camino Viejo de Xirivella, 24, 46920,Opendata Generalitat Valenciana,pharmacy,"Carrer de Camino Viejo de Xirivella, Mislata, Valencia",
V-424-F,Valencia,Mislata,Isabel Ferrandiz Ferragud,"Avinguda de Vicente Blasco IbaÃ±ez, 16, 46920",Avinguda de Vicente Blasco IbaÃ±ez, 16, 46920,Opendata Generalitat Valenciana,pharmacy,"Avinguda de Vicente Blasco IbaÃ±ez, Mislata, Valencia",
V-319-F,Valencia,Moncada,Susana Alcañiz Ciscar,"Carrer de 25 dÂ´Abril, 9, 46113",Carrer de 25 dÂ´Abril, 9, 46113,Opendata Generalitat Valenciana,pharmacy,"Carrer de 25 dÂ´Abril, Moncada, Valencia",
V-989-F,Valencia,Montitxelvo/Montichelvo,Mª Jose Mahiques Mahiques,"Avinguda de Constitucion (de la), 6, 46842",Avinguda de Constitucion (de la), 6, 46842,Opendata Generalitat Valenciana,pharmacy,"Avinguda de Constitucion (de la), Montitxelvo/Montichelvo, Valencia",
V-1011-F,Valencia,Novetlè / Novelé,Maria Lourdes Piqueres Vidal,"Avinguda de Pintor Ramon Simarro Oltra, S/N, 46800",Avinguda de Pintor Ramon Simarro Oltra, , 46800,Opendata Generalitat Valenciana,pharmacy,"Avinguda de Pintor Ramon Simarro Oltra, Novetlè / Novelé, Valencia",
V-1075-F,Valencia,Oliva,"Amparo Peiro Faus, Maria Teresa Sendra Llido","Carrer de Roger de Lauria Almirante, 16, 46780",Carrer de Roger de Lauria Almirante, 16, 46780,Opendata Generalitat Valenciana,pharmacy,"Carrer de Roger de Lauria Almirante, Oliva, Valencia",
V-1255-F,Valencia,Oliva,Amalia Gimeno Roig,"COMPLEJO COMERCIAL OLIVA NOVA, SECTOR II, MANZANA F, LOCarrer de 10-11, 46780",COMPLEJO COMERCIAL OLIVA NOVA, SECTOR II," MANZANA F, LOCarrer de 10-11, 46780",Opendata Generalitat Valenciana,pharmacy,"COMPLEJO COMERCIAL OLIVA NOVA, Oliva, Valencia",
V-1204-F,Valencia,Ontinyent,Margarita Quilis Soriano,"Avinguda de DÂ´Almansa, 16, 46870",Avinguda de DÂ´Almansa, 16, 46870,Opendata Generalitat Valenciana,pharmacy,"Avinguda de DÂ´Almansa, Ontinyent, Valencia",
V-1226-F,Valencia,Ontinyent,Jose Iborra Bou,"Polígon de Del Pintor Carlets, 8, 46870",Polígon de Del Pintor Carlets, 8, 46870,Opendata Generalitat Valenciana,pharmacy,"Polígon de Del Pintor Carlets, Ontinyent, Valencia",
V-374-F,Valencia,Ontinyent,Maria Torro Martinez,"Carrer de Del MusiCarrer de Martinez Valls, 1, 46870",Carrer de Del MusiCarrer de Martinez Valls, 1, 46870,Opendata Generalitat Valenciana,pharmacy,"Carrer de Del MusiCarrer de Martinez Valls, Ontinyent, Valencia",
V-654-F,Valencia,Paterna,"Jaime Sieres Sala, Janine Vives Sieres","Avinguda de Blasco IbaÃ±ez, 45, 46980",Avinguda de Blasco IbaÃ±ez, 45, 46980,Opendata Generalitat Valenciana,pharmacy,"Avinguda de Blasco IbaÃ±ez, Paterna, Valencia",
V-1071-F,Valencia,El Puig De Santa Maria,Marcelo Monzonis Guia,"Polígon de Maritim.-Puig Val-Benlliure I, S/N, 46540",Polígon de Maritim.-Puig Val-Benlliure I, , 46540,Opendata Generalitat Valenciana,pharmacy,"Polígon de Maritim.-Puig Val-Benlliure I, El Puig De Santa Maria, Valencia",
V-1173-F,Valencia,Quart De Poblet,Miguel Espinos Muedra,"Carrer de Lluis Vives, 7, 46930",Carrer de Lluis Vives, 7, 46930,Opendata Generalitat Valenciana,pharmacy,"Carrer de Lluis Vives, Quart De Poblet, Valencia",
V-534-F,Valencia,Quart De Poblet,"Elena Tramoyeres Rovira, Maria Carmen Tramoyeres Rovira","Avinguda de Juan Ramon Jimenez, 20, 46930",Avinguda de Juan Ramon Jimenez, 20, 46930,Opendata Generalitat Valenciana,pharmacy,"Avinguda de Juan Ramon Jimenez, Quart De Poblet, Valencia",
V-427-F,Valencia,Quatretonda,Jose L. Oltra Ferrero Y Maria,"Carrer de Doctor Climent Pastor, 1, 46837",Carrer de Doctor Climent Pastor, 1, 46837,Opendata Generalitat Valenciana,pharmacy,"Carrer de Doctor Climent Pastor, Quatretonda, Valencia",
V-417-F,Valencia,El Real De Gandia,Cayetano Garcia-Gorrita Diaz,"Carrer de Travessera dÂ´Albaida, 75, 46727",Carrer de Travessera dÂ´Albaida, 75, 46727,Opendata Generalitat Valenciana,pharmacy,"Carrer de Travessera dÂ´Albaida, El Real De Gandia, Valencia",
V-1095-F,Valencia,Rugat,Leonor Cuquerella Cuquerella,"Carrer de EnriCarrer de Valor, 10, 46842",Carrer de EnriCarrer de Valor, 10, 46842,Opendata Generalitat Valenciana,pharmacy,"Carrer de EnriCarrer de Valor, Rugat, Valencia",
V-1155-F,Valencia,Serra,Maria Dolores Ibañez Alpuente,"Urbanització TORRES DE PORTA COELI, LOCAL 8, , 46118",Urbanització TORRES DE PORTA COELI, LOCAL 8," , 46118",Opendata Generalitat Valenciana,pharmacy,"Urbanització TORRES DE PORTA COELI, Serra, Valencia",
V-1103-F,Valencia,Sueca,Maria Jose Benedito Fortea,"Urbanització M.BLAUrbanització ED.ALBATROS. P.B., 3, 46419",Urbanització M.BLAUrbanització ED.ALBATROS. P.B., 3, 46419,Opendata Generalitat Valenciana,pharmacy,"Urbanització M.BLAUrbanització ED.ALBATROS. P.B., Sueca, Valencia",
V-545-F,Valencia,Torrebaja,Joaquin Villanueva Hernandez,"Carrer de Carretera de Teruel, 12, 46143",Carrer de Carretera de Teruel, 12, 46143,Opendata Generalitat Valenciana,pharmacy,"Carrer de Carretera de Teruel, Torrebaja, Valencia",
V-1117-F,Valencia,Torrella,Antonio Jose Perez Soto,"Carrer de Mossen Ricardo Climent, 6, 46814",Carrer de Mossen Ricardo Climent, 6, 46814,Opendata Generalitat Valenciana,pharmacy,"Carrer de Mossen Ricardo Climent, Torrella, Valencia",
V-766-F,Valencia,Tous,Teodoro Zornoza Ortega,"Carrer de LEOPOLDO CALVO SOTELO, 16, 46269",Carrer de LEOPOLDO CALVO SOTELO, 16, 46269,Opendata Generalitat Valenciana,pharmacy,"Carrer de LEOPOLDO CALVO SOTELO, Tous, Valencia",
V-180-F,Valencia,València,Monica Romero Martin,"Carrer de Luis BuÃ±uel (Director de Cine), 3, 46015",Carrer de Luis BuÃ±uel (Director de Cine), 3, 46015,Opendata Generalitat Valenciana,pharmacy,"Carrer de Luis BuÃ±uel (Director de Cine), València, Valencia",
V-216-F,Valencia,València,Maria Rosario Vidal Blasco,"Carrer de Luis Garcia-Berlanga Marti (Director Cinema), 5B, 46023",Carrer de Luis Garcia-Berlanga Marti (Director Cinema), 5B, 46023,Opendata Generalitat Valenciana,pharmacy,"Carrer de Luis Garcia-Berlanga Marti (Director Cinema), València, Valencia",
V-829-F,Valencia,València,"Jose Miguel Cavero Rausell, Ana Roda Segrelles","Avinguda de Professor Lopez PiÃ±ero (Historiador de la Medicina, 16, 46013",Avinguda de Professor Lopez PiÃ±ero (Historiador de la Medicina, 16, 46013,Opendata Generalitat Valenciana,pharmacy,"Avinguda de Professor Lopez PiÃ±ero (Historiador de la Medicina, València, Valencia",
V-550-F,Valencia,Xàtiva,Angel Bruno Dominguez Barbera,"Avinguda de Alameda Jaume I, 32, 46800",Avinguda de Alameda Jaume I, 32, 46800,Opendata Generalitat Valenciana,pharmacy,"Avinguda de Alameda Jaume I, Xàtiva, Valencia",
V-485-F,Valencia,Xeresa,Joaquin Vicente Loras Lovaco,"Carrer de Dr Miguel Vivo, 34, 46790",Carrer de Dr Miguel Vivo, 34, 46790,Opendata Generalitat Valenciana,pharmacy,"Carrer de Dr Miguel Vivo, Xeresa, Valencia",
V-1246-F,Valencia,Xirivella,Rafael Navarro Sanchez,"PLAZA Doctor Gerardo Garces, 10, 46950",PLAZA Doctor Gerardo Garces, 10, 46950,Opendata Generalitat Valenciana,pharmacy,"PLAZA Doctor Gerardo Garces, Xirivella, Valencia",
